Industry,Function,Dashboard Link,Dashboard Title,Dashboard Description,Casestudy Title,Casestudy one liners,Case Study Link,App Solutions,Clients Served
Manufacturing,All,https://www.diacto.com/bi-dashboards/manufacturing-industry-dashboard/,Manufacturing Industry Dashboard,"A manufacturing dashboard with tabs for Sales Receivables, AR Aging, and Inventory provides a clear overview of financial health, customer payments, and stock levels. It enables quick tracking of sales performance, overdue receivables, and inventory turnover to support efficient operations and cash flow management.",ISE China Emerson,ISE China Emerson,https://www.diacto.com/industry/case-study/china-emerson,https://www.diacto.com/solutions/oracle-ebs-reporting-analytics/,"Emerson, Barry Wehmiller, Elkay Silicones, Afnitas, Alleima, Trimble"
Manufacturing,All,https://www.diacto.com/bi-dashboards/manufacturing-industry-dashboard/,Manufacturing Industry Dashboard,"A manufacturing dashboard with tabs for Sales Receivables, AR Aging, and Inventory provides a clear overview of financial health, customer payments, and stock levels. It enables quick tracking of sales performance, overdue receivables, and inventory turnover to support efficient operations and cash flow management.",Emerson InSinkErator,Emerson InSinkErator,https://www.diacto.com/industry/case-study/emerson-insinkerator,,"Emerson, Barry Wehmiller, Elkay Silicones, Afnitas, Alleima, Trimble"
Manufacturing,All,https://www.diacto.com/bi-dashboards/manufacturing-industry-dashboard/,Manufacturing Industry Dashboard,"A manufacturing dashboard with tabs for Sales Receivables, AR Aging, and Inventory provides a clear overview of financial health, customer payments, and stock levels. It enables quick tracking of sales performance, overdue receivables, and inventory turnover to support efficient operations and cash flow management.",Barry Wehmiller Case Study,Barry Wehmiller Case Study,https://www.diacto.com/industry/case-study/barry-wehmiller,https://www.diacto.com/solutions/oracle-ebs-reporting-analytics/,"Emerson, Barry Wehmiller, Elkay Silicones, Afnitas, Alleima, Trimble"
Consulting,All,,,,A Transformative Solution for Improved Performance,A Transformative Solution for Improved Performance,https://www.diacto.com/industry/case-study/a-transformative-solution-for-improved-performance/,,DOMO
Consulting,All,,,,Enhancing Operational Visibility Within BI Tool,Enhancing Operational Visibility Within BI Tool,https://www.diacto.com/industry/case-study/enhancing-operational-visibility-within-bi-tool/,,DOMO
Consulting,Marketing,,,,Establishing Survey Reports for Better Decisions,Establishing Survey Reports for Better Decisions,https://www.diacto.com/industry/case-study/establishing-survey-reports-for-better-decisions/,,DOMO
Construction,All,"https://www.diacto.com/bi-dashboards/construction-management-sales/
https://www.diacto.com/bi-dashboards/construction-management-geomap/
https://www.diacto.com/bi-dashboards/construction-management-safety/
https://www.diacto.com/bi-dashboards/construction-management-project-management/","[Construction Management (Sales),Construction Management (Geomap),Construction Management (Safety),Construction Management (Project Management)]",,,Efficient & Robust Data Integration,https://www.diacto.com/industry/case-study/construction-case-study-1/,,Clayco
Construction,Sales,"https://www.diacto.com/bi-dashboards/construction-management-sales/
https://www.diacto.com/bi-dashboards/construction-management-geomap/
https://www.diacto.com/bi-dashboards/construction-management-safety/
https://www.diacto.com/bi-dashboards/construction-management-project-management/","[Construction Management (Sales),Construction Management (Geomap),Construction Management (Safety),Construction Management (Project Management)]",,,Streamlining Sales & Lead Tracking Progress,https://www.diacto.com/industry/case-study/construction-case-study,,Clayco
Construction,Human Resource,"https://www.diacto.com/bi-dashboards/construction-management-sales/
https://www.diacto.com/bi-dashboards/construction-management-geomap/
https://www.diacto.com/bi-dashboards/construction-management-safety/
https://www.diacto.com/bi-dashboards/construction-management-project-management/","[Construction Management (Sales),Construction Management (Geomap),Construction Management (Safety),Construction Management (Project Management)]",,,Clayco (BI For HR) Case Study,https://www.diacto.com/industry/case-study/clayco-case-study/,,Clayco
FMCG,Operations,,,,,Business Transformation of FMCG Industry Player,https://www.diacto.com/industry/case-study/fmcg-player,,
